event_key,incident_type,severity_level,route_key
EVT-00732,Unexploded Ordnance Discovery,Minor,Persian Gulf – East China Sea
EVT-00733,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00734,Port Closure (Military),Critical,Persian Gulf – Sea of Japan
EVT-00735,GPS Spoofing / Jamming Incident,Critical,Suez Canal
EVT-00736,Piracy / Armed Boarding,Moderate,Persian Gulf – Bay of Bengal
EVT-00737,Naval Mine Detonation,Minor,Aden Gulf – Indian Ocean
EVT-00738,Naval Mine Detonation,Minor,Cape of Good Hope (reroute)
EVT-00739,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00740,Military Blockade Enforcement,Severe,Persian Gulf – East China Sea
EVT-00741,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00742,Missile Attack on Tanker,Moderate,Cape of Good Hope (reroute)
EVT-00743,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00744,GPS Spoofing / Jamming Incident,Moderate,Strait of Hormuz
EVT-00745,Insurance No-Go Zone Declaration,Critical,Bab el-Mandeb / Red Sea
EVT-00746,Oil Spill from Damaged Tanker,Minor,Strait of Hormuz
EVT-00747,Port Closure (Military),Minor,Strait of Hormuz
EVT-00748,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00749,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00750,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-00751,Port Closure (Military),Minor,Cape of Good Hope (reroute)
EVT-00752,Military Blockade Enforcement,Severe,Persian Gulf – Bay of Bengal
EVT-00753,Port Closure (Military),Severe,Aden Gulf – Indian Ocean
EVT-00754,Cyber-Attack on Port Systems,Moderate,Strait of Hormuz
EVT-00755,Houthi Anti-Ship Missile,Severe,Strait of Hormuz
EVT-00756,Port Closure (Military),Moderate,Aden Gulf – Indian Ocean
EVT-00757,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00758,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00759,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00760,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00761,Houthi Anti-Ship Missile,Moderate,Strait of Malacca
EVT-00762,IRGC Fast-Boat Harassment,Minor,Bab el-Mandeb / Red Sea
EVT-00763,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-00764,Coalition Naval Escort Delay,Severe,Aden Gulf – Indian Ocean
EVT-00765,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00766,Maritime Corridor Suspension,Severe,Persian Gulf – Bay of Bengal
EVT-00767,Oil Spill from Damaged Tanker,Critical,Bab el-Mandeb / Red Sea
EVT-00768,Maritime Corridor Suspension,Moderate,Cape of Good Hope (reroute)
EVT-00769,GPS Spoofing / Jamming Incident,Moderate,Persian Gulf – East China Sea
EVT-00770,Insurance No-Go Zone Declaration,Moderate,Strait of Malacca
EVT-00771,GPS Spoofing / Jamming Incident,Minor,Persian Gulf – Bay of Bengal
EVT-00772,Houthi Anti-Ship Missile,Moderate,Persian Gulf – Sea of Japan
EVT-00773,Insurance No-Go Zone Declaration,Moderate,Suez Canal
EVT-00774,Unexploded Ordnance Discovery,Moderate,Cape of Good Hope (reroute)
EVT-00775,Drone Strike Near Vessel,Severe,Persian Gulf – Bay of Bengal
EVT-00776,Oil Spill from Damaged Tanker,Severe,Suez Canal
EVT-00777,Port Closure (Military),Moderate,Arabian Sea – South China Sea
EVT-00778,Oil Spill from Damaged Tanker,Minor,Strait of Hormuz
EVT-00779,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00780,Coalition Naval Escort Delay,Moderate,Strait of Hormuz
EVT-00781,Military Blockade Enforcement,Severe,Strait of Hormuz
EVT-00782,Drone Strike Near Vessel,Moderate,Persian Gulf – Bay of Bengal
EVT-00783,Naval Mine Detonation,Critical,Persian Gulf – East China Sea
EVT-00784,Cyber-Attack on Port Systems,Moderate,Suez Canal
EVT-00785,IRGC Fast-Boat Harassment,Severe,Bab el-Mandeb / Red Sea
EVT-00786,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00787,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00788,Missile Attack on Tanker,Moderate,Strait of Hormuz
EVT-00789,GPS Spoofing / Jamming Incident,Severe,Persian Gulf – East China Sea
EVT-00790,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00791,Coalition Naval Escort Delay,Severe,Bab el-Mandeb / Red Sea
EVT-00792,Maritime Corridor Suspension,Moderate,Strait of Hormuz
EVT-00793,Oil Spill from Damaged Tanker,Minor,Suez Canal
EVT-00794,Insurance No-Go Zone Declaration,Severe,Arabian Sea – South China Sea
EVT-00795,Coalition Naval Escort Delay,Minor,Suez Canal
EVT-00796,Port Closure (Military),Minor,Persian Gulf – East China Sea
EVT-00797,Missile Attack on Tanker,Minor,Strait of Malacca
EVT-00798,Houthi Anti-Ship Missile,Minor,Cape of Good Hope (reroute)
EVT-00799,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00800,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00801,Houthi Anti-Ship Missile,Moderate,Arabian Sea – South China Sea
EVT-00802,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00803,IRGC Fast-Boat Harassment,Moderate,Strait of Hormuz
EVT-00804,Naval Mine Detonation,Minor,Bab el-Mandeb / Red Sea
EVT-00805,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00806,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00807,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00808,Port Closure (Military),Minor,Cape of Good Hope (reroute)
EVT-00809,GPS Spoofing / Jamming Incident,Moderate,Suez Canal
EVT-00810,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00811,IRGC Fast-Boat Harassment,Severe,Bab el-Mandeb / Red Sea
EVT-00812,GPS Spoofing / Jamming Incident,Severe,Strait of Hormuz
EVT-00813,Piracy / Armed Boarding,Critical,Cape of Good Hope (reroute)
EVT-00814,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00815,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00816,Unexploded Ordnance Discovery,Minor,Strait of Malacca
EVT-00817,Unexploded Ordnance Discovery,Minor,Arabian Sea – South China Sea
EVT-00818,Coalition Naval Escort Delay,Moderate,Strait of Malacca
EVT-00819,Naval Mine Detonation,Moderate,Aden Gulf – Indian Ocean
EVT-00820,Piracy / Armed Boarding,Minor,Arabian Sea – South China Sea
EVT-00821,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00822,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00823,Oil Spill from Damaged Tanker,Severe,Strait of Hormuz
EVT-00824,Missile Attack on Tanker,Minor,Aden Gulf – Indian Ocean
EVT-00825,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00826,IRGC Fast-Boat Harassment,Minor,Bab el-Mandeb / Red Sea
EVT-00827,IRGC Fast-Boat Harassment,Severe,Persian Gulf – East China Sea
EVT-00828,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00829,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00830,Coalition Naval Escort Delay,Moderate,Bab el-Mandeb / Red Sea
EVT-00831,Houthi Anti-Ship Missile,Severe,Strait of Hormuz
EVT-00832,Unexploded Ordnance Discovery,Moderate,Cape of Good Hope (reroute)
EVT-00833,IRGC Fast-Boat Harassment,Minor,Strait of Hormuz
EVT-00834,Oil Spill from Damaged Tanker,Minor,Strait of Malacca
EVT-00835,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00836,Insurance No-Go Zone Declaration,Severe,Persian Gulf – East China Sea
EVT-00837,Port Closure (Military),Critical,Cape of Good Hope (reroute)
EVT-00838,IRGC Fast-Boat Harassment,Minor,Strait of Hormuz
EVT-00839,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00840,Piracy / Armed Boarding,Minor,Cape of Good Hope (reroute)
EVT-00841,Houthi Anti-Ship Missile,Moderate,Persian Gulf – East China Sea
EVT-00842,Port Closure (Military),Severe,Bab el-Mandeb / Red Sea
EVT-00843,Military Blockade Enforcement,Critical,Cape of Good Hope (reroute)
EVT-00844,Missile Attack on Tanker,Severe,Cape of Good Hope (reroute)
EVT-00845,Missile Attack on Tanker,Minor,Arabian Sea – South China Sea
EVT-00846,Missile Attack on Tanker,Moderate,Aden Gulf – Indian Ocean
EVT-00847,Maritime Corridor Suspension,Minor,Bab el-Mandeb / Red Sea
EVT-00848,Oil Spill from Damaged Tanker,Severe,Persian Gulf – Sea of Japan
EVT-00849,Missile Attack on Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00850,GPS Spoofing / Jamming Incident,Minor,Strait of Hormuz
EVT-00851,IRGC Fast-Boat Harassment,Minor,Bab el-Mandeb / Red Sea
EVT-00852,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00853,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00854,Drone Strike Near Vessel,Moderate,Persian Gulf – Sea of Japan
EVT-00855,Military Blockade Enforcement,Minor,Aden Gulf – Indian Ocean
EVT-00856,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00857,Piracy / Armed Boarding,Moderate,Suez Canal
EVT-00858,Piracy / Armed Boarding,Severe,Suez Canal
EVT-00859,Cyber-Attack on Port Systems,Minor,Persian Gulf – Sea of Japan
EVT-00860,Port Closure (Military),Severe,Strait of Hormuz
EVT-00861,Drone Strike Near Vessel,Severe,Persian Gulf – Bay of Bengal
EVT-00862,GPS Spoofing / Jamming Incident,Moderate,Cape of Good Hope (reroute)
EVT-00863,Unexploded Ordnance Discovery,Moderate,Persian Gulf – East China Sea
EVT-00864,Cyber-Attack on Port Systems,Severe,Suez Canal
EVT-00865,Oil Spill from Damaged Tanker,Minor,Cape of Good Hope (reroute)
EVT-00866,Oil Spill from Damaged Tanker,Severe,Strait of Malacca
EVT-00867,Cyber-Attack on Port Systems,Moderate,Aden Gulf – Indian Ocean
EVT-00868,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00869,Insurance No-Go Zone Declaration,Moderate,Persian Gulf – Sea of Japan
EVT-00870,Cyber-Attack on Port Systems,Minor,Arabian Sea – South China Sea
EVT-00871,Drone Strike Near Vessel,Severe,Bab el-Mandeb / Red Sea
EVT-00872,Houthi Anti-Ship Missile,Critical,Bab el-Mandeb / Red Sea
EVT-00873,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00874,Oil Spill from Damaged Tanker,Minor,Persian Gulf – Sea of Japan
EVT-00875,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00876,Oil Spill from Damaged Tanker,Minor,Strait of Hormuz
EVT-00877,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00878,Houthi Anti-Ship Missile,Moderate,Arabian Sea – South China Sea
EVT-00879,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00880,Military Blockade Enforcement,Moderate,Persian Gulf – Sea of Japan
EVT-00881,Naval Mine Detonation,Severe,Bab el-Mandeb / Red Sea
EVT-00882,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00883,Military Blockade Enforcement,Severe,Strait of Hormuz
EVT-00884,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00885,Drone Strike Near Vessel,Moderate,Strait of Malacca
EVT-00886,Cyber-Attack on Port Systems,Severe,Cape of Good Hope (reroute)
EVT-00887,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00888,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00889,Naval Mine Detonation,Severe,Bab el-Mandeb / Red Sea
EVT-00890,Houthi Anti-Ship Missile,Severe,Strait of Hormuz
EVT-00891,Missile Attack on Tanker,Minor,Aden Gulf – Indian Ocean
EVT-00892,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00893,Maritime Corridor Suspension,Moderate,Persian Gulf – East China Sea
EVT-00894,Oil Spill from Damaged Tanker,Severe,Suez Canal
EVT-00895,Port Closure (Military),Minor,Strait of Hormuz
EVT-00896,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-00897,Port Closure (Military),Severe,Strait of Hormuz
EVT-00898,Cyber-Attack on Port Systems,Moderate,Strait of Hormuz
EVT-00899,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00900,Military Blockade Enforcement,Severe,Bab el-Mandeb / Red Sea
EVT-00901,Houthi Anti-Ship Missile,Moderate,Bab el-Mandeb / Red Sea
EVT-00902,IRGC Fast-Boat Harassment,Severe,Arabian Sea – South China Sea
EVT-00903,Maritime Corridor Suspension,Moderate,Persian Gulf – East China Sea
EVT-00904,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00905,Drone Strike Near Vessel,Moderate,Cape of Good Hope (reroute)
EVT-00906,Maritime Corridor Suspension,Severe,Suez Canal
EVT-00907,Military Blockade Enforcement,Minor,Strait of Hormuz
EVT-00908,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00909,Coalition Naval Escort Delay,Critical,Suez Canal
EVT-00910,Drone Strike Near Vessel,Minor,Persian Gulf – Bay of Bengal
EVT-00911,Drone Strike Near Vessel,Critical,Strait of Hormuz
EVT-00912,IRGC Fast-Boat Harassment,Moderate,Suez Canal
EVT-00913,IRGC Fast-Boat Harassment,Minor,Strait of Malacca
EVT-00914,Houthi Anti-Ship Missile,Critical,Persian Gulf – East China Sea
EVT-00915,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-00916,Oil Spill from Damaged Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00917,Missile Attack on Tanker,Moderate,Persian Gulf – Bay of Bengal
EVT-00918,Military Blockade Enforcement,Severe,Bab el-Mandeb / Red Sea
EVT-00919,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00920,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00921,Military Blockade Enforcement,Minor,Suez Canal
EVT-00922,IRGC Fast-Boat Harassment,Severe,Strait of Malacca
EVT-00923,Missile Attack on Tanker,Severe,Aden Gulf – Indian Ocean
EVT-00924,Oil Spill from Damaged Tanker,Severe,Suez Canal
EVT-00925,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00926,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00927,Drone Strike Near Vessel,Severe,Bab el-Mandeb / Red Sea
EVT-00928,Insurance No-Go Zone Declaration,Minor,Cape of Good Hope (reroute)
EVT-00929,Houthi Anti-Ship Missile,Minor,Persian Gulf – East China Sea
EVT-00930,Unexploded Ordnance Discovery,Moderate,Suez Canal
EVT-00931,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00932,Military Blockade Enforcement,Moderate,Bab el-Mandeb / Red Sea
EVT-00933,Houthi Anti-Ship Missile,Minor,Aden Gulf – Indian Ocean
EVT-00934,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00935,Drone Strike Near Vessel,Minor,Strait of Malacca
EVT-00936,Drone Strike Near Vessel,Minor,Suez Canal
EVT-00937,Military Blockade Enforcement,Minor,Persian Gulf – Sea of Japan
EVT-00938,Insurance No-Go Zone Declaration,Severe,Strait of Hormuz
EVT-00939,Coalition Naval Escort Delay,Severe,Bab el-Mandeb / Red Sea
EVT-00940,Maritime Corridor Suspension,Minor,Cape of Good Hope (reroute)
EVT-00941,Missile Attack on Tanker,Severe,Suez Canal
EVT-00942,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00943,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00944,Oil Spill from Damaged Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00945,IRGC Fast-Boat Harassment,Critical,Suez Canal
EVT-00946,Military Blockade Enforcement,Minor,Suez Canal
EVT-00947,Military Blockade Enforcement,Minor,Suez Canal
EVT-00948,Maritime Corridor Suspension,Critical,Strait of Malacca
EVT-00949,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00950,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00951,GPS Spoofing / Jamming Incident,Moderate,Suez Canal
EVT-00952,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-00953,Maritime Corridor Suspension,Moderate,Cape of Good Hope (reroute)
EVT-00954,IRGC Fast-Boat Harassment,Critical,Strait of Hormuz
EVT-00955,Maritime Corridor Suspension,Minor,Persian Gulf – East China Sea
EVT-00956,Missile Attack on Tanker,Moderate,Persian Gulf – East China Sea
EVT-00957,Unexploded Ordnance Discovery,Minor,Suez Canal
EVT-00958,Missile Attack on Tanker,Severe,Cape of Good Hope (reroute)
EVT-00959,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00960,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00961,Insurance No-Go Zone Declaration,Minor,Cape of Good Hope (reroute)
EVT-00962,Coalition Naval Escort Delay,Moderate,Suez Canal
EVT-00963,Insurance No-Go Zone Declaration,Severe,Suez Canal
EVT-00964,Oil Spill from Damaged Tanker,Critical,Strait of Malacca
EVT-00965,Naval Mine Detonation,Severe,Persian Gulf – East China Sea
EVT-00966,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00967,Insurance No-Go Zone Declaration,Minor,Strait of Hormuz
EVT-00968,Naval Mine Detonation,Severe,Bab el-Mandeb / Red Sea
EVT-00969,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00970,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00971,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00972,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00973,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00974,GPS Spoofing / Jamming Incident,Minor,Persian Gulf – East China Sea
EVT-00975,Piracy / Armed Boarding,Minor,Cape of Good Hope (reroute)
EVT-00976,IRGC Fast-Boat Harassment,Minor,Strait of Hormuz
EVT-00977,Coalition Naval Escort Delay,Moderate,Suez Canal
EVT-00978,Drone Strike Near Vessel,Critical,Bab el-Mandeb / Red Sea
EVT-00979,Drone Strike Near Vessel,Severe,Persian Gulf – Sea of Japan
EVT-00980,Maritime Corridor Suspension,Moderate,Strait of Hormuz
EVT-00981,GPS Spoofing / Jamming Incident,Minor,Suez Canal
EVT-00982,Unexploded Ordnance Discovery,Minor,Suez Canal
EVT-00983,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00984,Maritime Corridor Suspension,Moderate,Persian Gulf – Sea of Japan
EVT-00985,Piracy / Armed Boarding,Moderate,Suez Canal
EVT-00986,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00987,Unexploded Ordnance Discovery,Minor,Bab el-Mandeb / Red Sea
EVT-00988,Naval Mine Detonation,Minor,Persian Gulf – Bay of Bengal
EVT-00989,Unexploded Ordnance Discovery,Severe,Bab el-Mandeb / Red Sea
EVT-00990,Port Closure (Military),Moderate,Persian Gulf – East China Sea
EVT-00991,Port Closure (Military),Moderate,Suez Canal
EVT-00992,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00993,GPS Spoofing / Jamming Incident,Moderate,Cape of Good Hope (reroute)
EVT-00994,Naval Mine Detonation,Minor,Bab el-Mandeb / Red Sea
EVT-00995,Piracy / Armed Boarding,Minor,Persian Gulf – Bay of Bengal
EVT-00996,Oil Spill from Damaged Tanker,Minor,Suez Canal
EVT-00997,Naval Mine Detonation,Minor,Arabian Sea – South China Sea
EVT-00998,Drone Strike Near Vessel,Moderate,Persian Gulf – East China Sea
EVT-00999,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-01000,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-01001,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-01002,Missile Attack on Tanker,Moderate,Strait of Hormuz
EVT-01003,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-01004,Port Closure (Military),Moderate,Aden Gulf – Indian Ocean
EVT-01005,Coalition Naval Escort Delay,Minor,Persian Gulf – East China Sea
EVT-01006,Naval Mine Detonation,Moderate,Persian Gulf – Bay of Bengal
EVT-01007,Oil Spill from Damaged Tanker,Severe,Suez Canal
EVT-01008,Houthi Anti-Ship Missile,Minor,Persian Gulf – East China Sea
EVT-01009,Cyber-Attack on Port Systems,Minor,Suez Canal
EVT-01010,Maritime Corridor Suspension,Minor,Strait of Malacca
EVT-01011,Unexploded Ordnance Discovery,Critical,Bab el-Mandeb / Red Sea
EVT-01012,Coalition Naval Escort Delay,Severe,Bab el-Mandeb / Red Sea
EVT-01013,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-01014,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-01015,IRGC Fast-Boat Harassment,Moderate,Suez Canal
EVT-01016,Port Closure (Military),Moderate,Strait of Hormuz
EVT-01017,Military Blockade Enforcement,Moderate,Strait of Malacca
EVT-01018,Drone Strike Near Vessel,Minor,Strait of Hormuz
EVT-01019,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-01020,Naval Mine Detonation,Critical,Strait of Hormuz
EVT-01021,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-01022,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-01023,IRGC Fast-Boat Harassment,Minor,Suez Canal
EVT-01024,Military Blockade Enforcement,Severe,Strait of Malacca
EVT-01025,Unexploded Ordnance Discovery,Critical,Bab el-Mandeb / Red Sea
EVT-01026,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-01027,Missile Attack on Tanker,Minor,Persian Gulf – Sea of Japan
EVT-01028,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-01029,Oil Spill from Damaged Tanker,Critical,Cape of Good Hope (reroute)
EVT-01030,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-01031,Military Blockade Enforcement,Severe,Bab el-Mandeb / Red Sea
EVT-01032,Missile Attack on Tanker,Severe,Persian Gulf – Bay of Bengal
EVT-01033,Maritime Corridor Suspension,Critical,Bab el-Mandeb / Red Sea
EVT-01034,Coalition Naval Escort Delay,Moderate,Bab el-Mandeb / Red Sea
EVT-01035,Oil Spill from Damaged Tanker,Moderate,Persian Gulf – East China Sea
EVT-01036,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-01037,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-01038,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-01039,Missile Attack on Tanker,Severe,Cape of Good Hope (reroute)
EVT-01040,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-01041,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-01042,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-01043,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-01044,Cyber-Attack on Port Systems,Critical,Aden Gulf – Indian Ocean
EVT-01045,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-01046,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-01047,Oil Spill from Damaged Tanker,Moderate,Cape of Good Hope (reroute)
EVT-01048,Unexploded Ordnance Discovery,Critical,Strait of Hormuz
EVT-01049,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-01050,Coalition Naval Escort Delay,Critical,Persian Gulf – East China Sea
EVT-01051,Houthi Anti-Ship Missile,Moderate,Persian Gulf – East China Sea
EVT-01052,Missile Attack on Tanker,Severe,Persian Gulf – East China Sea
